Participant ID,Eye calibration success,HUD adjustment,White Cane,PWS average time,Preferred Walking Speed (m/s),Condition,Forward or Backward,Layout,Calibrated Distance,Calibrated Time,Average Speed,X Pitch,Y Yaw,Z Roll,Total Rotation,Order,PPWS,Errors,Median Rating,Confidence,Obstacle location,Obstacle size,Awareness,Preferred Condition,rotSpeedX,rotSpeedY,rotSpeedZ,Percent Stopped,Percent Slowed,Speed Variance,Speed Variance Corrected
OA01,Yes,None,No,13.5,1.11,Control (first),Forward,4,N/A,16.78,N/A,N/A,N/A,N/A,N/A,1,80.44%,0,2,2,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA01,Yes,None,No,13.5,1.11,Control (first),Backward,4,N/A,16.27,N/A,N/A,N/A,N/A,N/A,1,82.96%,0,2,2,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA01,Yes,None,No,13.5,1.11,No Cues,Forward,2,15.394,16.78,0.92,420.45,312.71,240.95,974.12,2,78.68%,0,3,3,3,3,3,N/A,25.05661502,18.63587604,14.35935638,0.293255132,0.879765396,0.092688989,0.100793388
OA01,Yes,None,No,13.5,1.11,No Cues,Backward,2,15.27469,15.58,0.98,438.04,296.16,254.45,988.64,2,85.85%,0,3,3,3,3,3,N/A,28.11553273,19.00898588,16.33183569,0.606060606,1.818181818,0.116901823,0.119084905
OA01,Yes,None,No,13.5,1.11,Collocated,Forward,8,15.45442,16.46,0.94,442.25,297.25,235.36,974.86,4,77.77%,2,5.5,6,5,6,5,No,26.86816525,18.05893074,14.29890644,0,1.488095238,0.104613242,0.111284399
OA01,Yes,None,No,13.5,1.11,Collocated,Backward,8,15.17911,15.12,1,412.75,320.01,240.15,972.92,4,89.21%,0,5.5,6,5,6,5,No,27.29828042,21.16468254,15.88293651,0,1.423487544,0.095873676,0.094995291
OA01,Yes,None,No,13.5,1.11,HUD,Forward,5,15.19156,16.74,0.91,427.73,324.02,236.11,987.85,3,77.94%,0,4.5,4,5,4,6,No,25.55137395,19.35603345,14.10454002,0.787401575,3.149606299,0.097226655,0.106752281
OA01,Yes,None,No,13.5,1.11,HUD,Backward,5,15.23637,15.14,1.01,440.09,327.18,251.12,"1,018.39",3,87.77%,0,4.5,4,5,4,6,No,29.0680317,21.61030383,16.58652576,0,0.961538462,0.076743078,0.076056654
OA01,Yes,None,No,13.5,1.11,Combined,Forward,7,15.24612,14.44,1.06,466.63,338.61,257.89,"1,063.14",5,90.41%,0,7,7,7,7,7,Yes,32.31509695,23.44944598,17.85941828,0,0.613496933,0.065933718,0.061928894
OA01,Yes,None,No,13.5,1.11,Combined,Backward,7,15.24893,14.26,1.07,503.8,350.64,274.65,"1,129.09",5,93.30%,1,7,7,7,7,7,Yes,35.32959327,24.58906031,19.2601683,0,1.176470588,0.085649689,0.079870261
OA01,Yes,None,No,13.5,1.11,Control (last),Forward,1,N/A,14.43,N/A,N/A,N/A,N/A,N/A,6,93.54%,0,6,6,6,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA01,Yes,None,No,13.5,1.11,Control (last),Backward,1,N/A,14.34,N/A,N/A,N/A,N/A,N/A,6,94.12%,0,6,6,6,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA02,Yes,None,Yes,11.68,1.28,Control (first),Forward,8,N/A,26.11,N/A,N/A,N/A,N/A,N/A,1,44.73%,1,5.5,5,6,7,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA02,Yes,None,Yes,11.68,1.28,Control (first),Backward,8,N/A,20.16,N/A,N/A,N/A,N/A,N/A,1,57.94%,0,5.5,5,6,7,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OA02,Yes,None,Yes,11.68,1.28,No Cues,Forward,5,15.43864,21.56,0.72,468.29,268.25,258.8,995.35,4,52.90%,1,4,4,4,4,4,N/A,21.7203154,12.44202226,12.00371058,0.432900433,3.246753247,0.068982385,0.096244472
OA02,Yes,None,Yes,11.68,1.28,No Cues,Backward,5,15.53866,20.04,0.78,388.41,261.31,216.67,866.38,4,57.83%,1,4,4,4,4,4,N/A,19.38173653,13.03942116,10.81187625,0.408163265,2.653061224,0.110581741,0.142472719
OA02,Yes,None,Yes,11.68,1.28,Collocated,Forward,2,16.60967,28.9,0.57,722.25,351.18,332.55,"1,405.98",5,38.93%,1,3.5,3,3,4,4,Yes,24.99134948,12.15155709,11.50692042,2.805611222,15.83166333,0.069887754,0.121433337
